Sentence,Manual_Annotation,Matched_Terms
"The results from sighted participants showed that the error sizes in the reading pie charts were, on the whole, smaller than those in the reading band charts and that there was little difference between the reading times of the two charts.",0,whole
"A typical example of such missing data is the lack of alternative text for buttons, hypertext links, widget roles, and so on.",0,typical
"The participants were asked to identify simple geometric figures such as lines, rectangles, circles, and triangles that are the basic building blocks of any GUI interface.",0,simple
The tracking method is based on skin color segmentation and is suitable for recordings of a sign language dictionary.,0,sign language
"We found that in the past 10 years, publications targeting Mental-Health-Related disabilities and the research domain of AR/VR show an increasing trend.",0,mental
"Finally, we offer reflections for customized travel technologies for deaf and hard of hearing users, and methodological guidelines for performing first-person research in the context of disability.",0,hard of hearing
Tables remain a persistent problem for visually impaired people using screen readers.,1,visually impaired
"We present four speculative design case studies that conceptually explore four qualities of access built on crip wisdom: access as an ongoing process, a frictional practice, an aesthetic experience, and transformation.",0,crip
"Following expert directives, our system helps children to categorize elementary perception (strong, smooth, quick, slow, big, small...).",0,slow
"In order to gather data from the signing deaf community, efforts have been made to create online surveys in American Sign Language (ASL), despite a lack of user studies and UX/UI design guidelines informing the development of online survey tools featuring ASL.",0,sign language
Blind or visually impaired persons may experience challenges forming a mental map of the world around them.,1,visually impaired
"Properties of conversational sign language allow us to save power and bits: namely, lower frame rates are possible when one person is not signing due to turn-taking, and signing can potentially employ a lower frame rate than fingerspelling.",0,sign language
"We present our Work-In-Progress on Tangicraft, a multimodal interface designed to empower visually impaired children to play and collaborate around Minecraft.",1,visually impaired
"Many deaf adults in the U.S. have lower levels of English reading literacy, but there are currently no standardized questionnaires similar to SUS for Deaf and Hard-of-Hearing (DHH) users who are fluent in American Sign Language (ASL).",0,sign language
An initial pilot study is presented that uses this zooming method with three individuals who are visually impaired and four who are sighted.,1,visually impaired
This novel technique is applicable to ASL or other sign languages.,0,sign language
"Sign language recognition and translation technologies have the potential to increase access and inclusion of deaf signing communities, but research progress is bottlenecked by a lack of representative data.",0,sign language
"In this paper, we introduce the American Sign Language STEM Concept Learning Resource (ASL CLeaR), an educational application demo.",0,sign language
"Inspired by this idea, the purpose of this study was to determine the viability of neural networks in predicting Freezing of Gait (FoG), a symptom of Parkinson's disease in which the patient's legs are suddenly rendered unable to move.",0,patient
The first biennial International Conference on Computers Helping People with Special Needs (under a different name) was held in 1988.,0,special needs
Recent advances in Automatic Speech Recognition (ASR) have made this technology a potential solution for transcribing audio input in real-time for people who are Deaf or Hard of Hearing (DHH).,0,hard of hearing
"Through interviews with 18 audio professionals and hobbyists with vision impairments, we find that accessible audio production involves: piecing together accessible and efficient workflows through a combination of mainstream and custom tools; achieving professional competency through a steep learning curve in which domain knowledge and accessibility are inseparable; and facilitating learning and creating access by engaging in online communities of visually impaired audio enthusiasts.",1,visually impaired
"The first two evaluations were conducted with sighted users, and the last evaluation was conducted with visually impaired users.",1,visually impaired
"This poster describes an approach to creating a system that will allow blind, low vision, dyslexic, and other non-visual readers to skim through documents for answers to questions.",0,dyslexic
"From our findings we discuss why it is difficult for a blind person to navigate like a sighted person to ensure designers are aware of the difficulties and designing with new training in mind, not simply designing from their own point of view.",0,blind person
"While recent advances have enabled mobile sound recognition tools for deaf and hard of hearing (DHH) people, these tools have only been studied in the lab or through short, controlled experiments.",0,hard of hearing
"This report will briefly describe some of the topics to be covered in this new course, how these topics fit within the CS curriculum, sample assignments, and the laboratory equipment used to support demonstrations and assignments.",0,fit
"Blind or visually impaired (BVI) individuals often rely on alternative text (alt-text) in order to understand an image; however, alt-text is often missing or incomplete.",1,visually impaired
"The software can be easily, and cheaply, incorporated in modern user interfaces, making them available for use by the visually handicapped.",1,handicapped
The results show that auditory interpretation of graphics is an effective interface technique for visually impaired users.,1,visually impaired
The study is a work-in-progress on a ubiquitous system enhancing accessibility to architectural heritage for a broad audience with a special focus on the Blind and Visually Impaired (BVI).,1,the blind
"Our first study (N=20) identified two preferred values from among five options for each parameter, one of which included a typical human value for this parameter, and a second study (N=20) identified the most preferred value.",0,typical
It serves as a test-bed to investigate technical and ethical solutions that enable hearing parents to use American Sign Language (ASL) during face-to-face play with their with their DHH children.,0,sign language
"In this work, we present preliminary design considerations for the user experience for autonomous wheelchair navigation derived from a semi-structured interview with ten (10) current wheelchair users about their willingness to use and applicability of an autonomous navigation function.",0,wheelchair user
We present an algorithm to detect nine eyelid gestures on smartphones in real-time and evaluate it with twelve able-bodied people and four people with severe motor impairments in two studies.,1,able-bodied
"Web automation has the potential to bridge the accessibility divide between the ways blind and sighted people access the Web; specifically, it can enable blind people to accomplish quickly web browsing tasks that were previously slow, hard, or even impossible to complete.",0,slow
Evaluating software applications with deaf or hard of hearing children requires methods and procedures tuned to them.,0,hard of hearing
"To better understand why few students with disabilities pursue PhDs in computing and related fields, we conducted an interview study with 19 current and former graduate students who identified as blind or low vision, or deaf or hard of hearing.",0,hard of hearing
"Blind and visually impaired (BVI) individuals are increasingly creating visual content online; however, there is a lack of tools that allow these individuals to modify the visual attributes of the content and verify the validity of those modifications.",1,visually impaired
"We further identify that at least 31\% of the objects in Second Life lack a descriptive name, which is a significant barrier towards making virtual worlds accessible to users who are visually impaired.",1,visually impaired
"In particular, we focused on applications that are used by the users who are blind or visually impaired.",1,visually impaired
The use of touchscreen devices with tactile and/or auditory feedback is increasingly being considered for providing refreshable graphics for individuals who are blind or visually impaired.,1,visually impaired
"The system uses a computer, webcam, and fiducial markers to associate a physical 3D object in the camera's view with a pre-defined digital map of labeled locations (""hotspots""), and to do real-time finger tracking, allowing a blind or visually impaired user to explore the object and hear individual labels spoken as each hotspot is touched.",1,visually impaired
"The CHAMPION project aimed to develop a piece of software which would allow an adult with SSPI to input multimedia information on their care needs and on the ""person behind the patient"".",0,patient
"Developing successful sign language recognition, generation, and translation systems requires expertise in a wide range of fields, including computer vision, computer graphics, natural language processing, human-computer interaction, linguistics, and Deaf culture.",0,sign language
This paper describes the specific accessibility features implemented in software that provides an accessible Lego Mindstorms NXT programming environment for teenage students who are visually impaired.,1,visually impaired
"Our empirical research, involving 18 visually impaired and sighted participants, indicates that visually impaired players can quickly and safely master the game, ensuring a pleasant and friendly experience for all players.",1,visually impaired
"Schools  have  attempted  to  overcome  these  barriers  with  a variety  of  adaptations  such  as  special  classrooms,  therapies,  and  assistive  technologies.  ",1,special
"On the other hand, a cursor control system to step the cursor up, down, left or right in response to voluntary contractions of specific facial muscles, developed by our group, provides steady and precise, albeit slow, cursor control, along with a reliable clicking mechanism.",0,slow
"Indeed, they are unusual users with special communication needs.",1,special
Scoliosis patients face problems like difficult ambulation and weak sit tolerance comparing to healthy people.,1,healthy
This suggests that the transcoding techniques offered by SADIe can assist visually impaired users accessing content on the Web.,1,visually impaired
"In this study, a wearable assistive technology is presented and evaluated which supports visually impaired persons with the recognition of facial expressions of emotions.",1,visually impaired
TESSA is an experimental system that aims to aid transactions between a deaf person and a clerk in a Post Office by translating the clerk's speech to sign language.,0,deaf person
"In forming FiLOrk, we set out to use music performance and tactile graphics to address a lack of accessible tools and curricula for teaching Blind and Visually Impaired (BVI) people to code.",1,visually impaired
Music therapy could be an interesting resource to enhance social and cognitive skills in people with mental disorders.,1,mental
"The time spent using the continuous specification which is slow to use is short, since it is used just for fine refinement.",0,slow
Sign language is the primary medium of communication for many people who are deaf or hard of hearing.,0,hard of hearing
"For Deaf people, access to the mobile telephone network in the United States is currently limited to text messaging, forcing communication in English as opposed to American Sign Language (ASL), the preferred language.",0,sign language
"We found that young adults want to develop social skills of such as playing sports or learning languages, but that leveraging social media participation to do this goes beyond their typical use, and requires both collaborative support and accessible design.",0,typical
Some A few web access systems for  the visually impaired have already been developed and are  widely used.,1,visually impaired
Sign language interpreters play a crucial role in facilitating communication between Deaf individuals who primarily use sign language and people who use spoken language and lack proficiency in sign language.,0,sign language
"In this paper, we explore the effectiveness of using the Haptic Chair during speech therapy for the deaf.",1,the deaf
We plan more enhancements to help meet the need for accessible graph tools as articulated by the blind community.,0,the blind
"Thus, PC-Access offers auditory information (non-verbal sounds and voice synthesis), reinforced by the sense of touch which in turn helps to direct manipulation.",0,non-verbal
However the fact is that most of visually impaired people have a problem with the difficult usability of a touch-screen.,1,visually impaired
We discuss important factors in the design of evaluation studies for systems that generate animations of American Sign Language (ASL) sentences.,0,sign language
"Our long-term goal is for a portable, self-contained system that will allow visually impaired individuals to travel through familiar and unfamiliar environments without the assistance of guides.",1,visually impaired
Navigation assistive technologies aim to improve the mobility of blind or visually impaired people.,1,visually impaired
Handicapped people could be considered early adopters because they are more in need of improvements since the present circumstances and limitations are much less acceptable to them.,1,handicapped
This paper describes progress toward a prototype implementation of a tool which aims to improve literacy in deaf high school and college students who are native (or near native) signers of American Sign Language (ASL).,0,sign language
They replace the complex and error prone syntax of textual languages with simple shape cues that show how program elements can be combined.,0,simple
"In many cases, this means that the child will not be exposed to fluent sign language in the home and this can delay the child's acquisition of both their first signed language and a secondary written language",0,sign language
"Consumer-grade digital fabrication such as 3D printing is on the rise, and we believe it can be leveraged to great benefit in the arena of special education.",1,special
"Finally, the projected constraints are resolved for the search of best repainting of the document that most successfully presents to the colorblind person the color effects experienced by the normal vision person on the original document.",1,normal
In this poster we propose a novel approach to guide visually impaired people.,1,visually impaired
"Analyzing situations where work-arounds compensate for task failures reveals important insights for future artifact design for the blind such as the value of socialization, tactile and audio feedback, and facilitation of user independence.",1,the blind
"We analyzed recent ASSETS papers, and found that participants in non-anonymous accessibility research studies gave more positive average ratings than those in typical usability studies, especially when responding to questions about a proposed innovation.",0,typical
Braille literacy is one of the core pillars of education for visually impaired children.,1,visually impaired
"Blind and visually impaired participants in our user study reported that it was easier to locate undescribed slide elements with Slidecho’s synchronized interface than when browsing the video and extracted slides separately, and using Slidecho they read fewer slides that were fully redundant with the speech.",1,visually impaired
"Although 3D printing is beginning to infiltrate mainstream education, little to no research has explored 3D printing in the context of students with special support needs.",1,special
"A special palmtop computer, the Personal Memory Assistant (PMA), reminds the patient of important tasks and supervises the patient's actions.",0,patient
Finger Dance is an original audio-based rhythm-action game we developed specifically for visually impaired people.,1,visually impaired
"When the speech has begun to deteriorate, the adapted voice model can be further modified in order to compensate for the disordered characteristics found in the patient's speech.",0,patient
These challenges made participants inefficient-they were slow and often made mistakes; even tech savvy participants felt frustrated and not in control.,0,slow
"This manuscript explores preliminary findings from an ongoing multimodal ASL corpus collection and analysis study, focusing on human-generated modalities (e.g., eye tracking, facial expression, head movement) and the expression of frustration and confusion among deaf and hard of hearing study participants.",0,hard of hearing
Acquiring accessibility information about unfamiliar places in advance is essential for wheelchair users to make better decisions about physical visits.,0,wheelchair user
"For example, it was found that many representational 3D icons could be recognised by touch without the need for a key and that such a map helped form mental models of the event space.",0,mental
"In this demonstration, the functionality of this fun-only camera accompanied by an iPad's tangible interface is targeted to the benefit of the visually impaired.",1,visually impaired
"We found that people who knew that they were transcribing for a blind person produced longer, more detailed descriptions.",0,blind person
This study examined how to design tools that build independence with Blind or Visually Impaired (BVI) children and their families.,1,visually impaired
The results indicate an increase in communicative behaviours for both verbal and non-verbal participants.,1,non-verbal
They either modify the user interface to fit the users' needs or modify the user's interaction with the cursor.,0,fit
This research incorporates a participatory design methodology to investigate the Deaf and Hard of Hearing (DHH) users’ tacit needs.,0,hard of hearing
"Augmentative and alternative communication (AAC) technologies are typically fixed-form factor mobile devices, which can be physically obtrusive and visually identifiable – perpetuating public stigmas and limiting non-verbal communication.",0,non-verbal
This paper provides methodological guidance for how to design user studies evaluating sign language animations and facilitates comparison of studies that have used different upper baselines.,0,sign language
"It helps patients achieve better training results by positively affecting motor control, the somatosensory system, and patient engagement.",0,patient
"We use an automatic computer-vision-based sign language recognition, automatic speech recognition and touchscreen as input modalities.",0,sign language
We describe a system for guiding blind and visually impaired wheelchair users along a clear path that uses computer vision to sense the presence of obstacles or other terrain features and warn the user accordingly.,1,visually impaired
Words and sentences in sign language are mainly represented by hands' gestures.,0,sign language
"The user quickly specifies an approximate position by referring to the ghost cursor nearest the desired position, and then uses non-verbal vocalizations to move the ghost cursors continuously until one is on the desired position.",0,non-verbal
"Travel is an integral aspect of our lives, and this rings true for blind and visually impaired individuals alike.",1,visually impaired
"Adults with autism spectrum disorder (ASD) face daily challenges dealing with stress, for example, at work, or in public spaces, which can be overwhelming in terms of coping with sensory overload.",0,disorder
"However, the process is slow and too often the need is mooted before the content becomes accessible.",0,slow
We conducted user studies with five sighted parents and six blind or visually impaired children.,1,visually impaired
"Through a survey (N=62) and multiple regression analysis, we identified relationships between (a) demographic and technology experience/attitude characteristics of participants and (b) the subjective and objective scores collected from them during the evaluation of sign language animation systems.",0,sign language
A speech recogniser recognises speech from the clerk and the system then synthesizes the appropriate sequence of signs in British Sign language (BSL) using a specially-developed avatar.,0,sign language
"However, most research in the field of sign language recognition has focused on the manual component of signs, despite the fact that there is critical grammatical information expressed through facial expressions and head gestures.",0,sign language
The system translates Japanese sign language into Japanese and vice versa.,0,sign language
We outline the design for a navigation system for the visually impaired and describe the progress we have made toward such a system.,1,visually impaired
This approach makes it possible to magnify lecture presentations directly onto the screen of visually impaired students and could improve real-time interactions in the classroom.,1,visually impaired
"According to psychological model of spatial navigation and the requirements of rehabilitation professionals, a novel wayfinding system is presented with an aim to increase workplace and life independence for people suffering from diseases such as traumatic brain injury, cerebral palsy, mental retardation, schizophrenia, Down syndromes, and Alzheimer's disease.",1,mental
"However, more than 13 million visually impaired people in the Indian sub-continent could not benefit much from such systems.",1,visually impaired
"In this preliminary work, we explore the utility of a simple haptic web-browsing interface -- tactile overlays, and report on a preliminary user study with 10 blind participants who performed various web-browsing tasks with and without these overlays.",0,simple
Most of African sign languages are endangered and severely under-studied [11].,0,sign language
"These color codes are affixed in certain locations to provide information to the visually impaired, and their location and meaning are then recognized using the proposed wayfinding system.",1,visually impaired
"In this paper, we present an experiment with 30 visually impaired participants, where we compare the use of faster speech rates against the use of concurrent speech.",1,visually impaired
"Considering it is impractical for the visually impaired to capture high quality image, our currency reader performs real time processing for each captured frame as the camera approaches the bill.",1,visually impaired
"This presentation demonstrates a working prototype of the iCare Interaction Assistant, a wearable assistive device based on research aimed at facilitating the social interactions of people who are blind or visually impaired.",1,visually impaired
"Yet, we still know relatively little about the fundamental metaphors and guidelines for designing voice assistants, and how they might empower and constrain visually impaired users.",1,visually impaired
"Existing solutions resort to assistive screen reading software to compensate the lack of sight, still not all the information reaches the blind user.",0,the blind
Our research explores wearable Immersive Virtual Reality (IVR) to support new forms of intervention for children with Neuro-Developmental Disorder (NDD).,0,disorder
"Talkit++ detects the model and finger gestures using computer vision algorithms, simple accessories like paper stickers and printable trackers, and the built-in RGB camera on an iOS device.",0,simple
It is designed to enable the visually impaired people to participate in a more effective social communication by perceiving their interlocutor's facial expressions.,1,visually impaired
We conclude with takeaway recommendations for future virtual or augmented reality sign language learning games.,0,sign language
But visually impaired people have so many difficulties to read maps and to use spatial information in the field.,1,visually impaired
"ViSiCAST is a major new project funded by the European Union, aiming to provide improved access to services and facilities for deaf citizens through sign language presented by a virtual human, or avatar.",0,sign language
"Those with typical colour vision find it difficult to understand how people with ICV perceive colour, leading to misunderstanding and challenges for people with ICV.",1,typical
Visually impaired users could especially benefit from the auditory feedback received during menu navigation.,1,visually impaired
"In these cases, we draw similarities between sighted and visually impaired users, in that sighted users cannot see the target of a Web Anchor and are therefore 'handicapped'1 by the technology.",0,handicapped
"Wheelchair users could greatly benefit from this pose information to prevent injuries, monitor their health, identify environmental accessibility barriers, and interact with gaming and VR experiences.",0,wheelchair user
"In order to observe both simple and complex interaction, two tasks (menu and Fitts' tapping) were used.",0,simple
"It is not surprising therefore, that providing high quality OERs that facilitate the self-development towards specific jobs and skills on the labor market in the light of special preferences of learners with disabilities is difficult.",0,special
"In this demonstration, we describe our exploration in making graphic design theory accessible to a visually impaired student with the use of rapid prototyping tools.",1,visually impaired
"We describe our preliminary study to develop a system that provides systematic analysis of parent-child mealtime interaction, so as to promote children's healthy eating habits.",0,healthy
"Although a large number of navigation support systems for visually impaired people have been proposed in the past, navigating through unknown environments is still a major challenge for visually impaired travelers.",1,visually impaired
"This study examines the potential of the ZINinNGT app, a mobile learning application designed to support hearing parents of deaf and hard-of-hearing (DHH) children in learning Dutch Sign Language.",0,hard of hearing
"Some devices, like the iPhone, are rapidly gaining popularity among the visually impaired since the use of pre-installed screenreader applications renders these devices accessible.",1,visually impaired
"We present ongoing research that aims to make such games go beyond accessibility, by making them engaging and enjoyable for visually impaired players.",1,visually impaired
"In this work, we present WheelPoser, a real-time pose estimation system specifically designed for wheelchair users.",0,wheelchair user
This device has a patient-centered design that is evidence-based and was derived from a series of collaborations with cardiologists at Rush University Medical Center.,0,patient
"As a result, clinicians do not get a true picture of the patient's gait, therefore this study investigates the use of Inertial Measurement Units (IMU) for gait analysis.",0,patient
The method is universal-designed to enable not only the visually impaired people but also the non-impaired people to enjoy using interactive digital map contents together.,1,visually impaired
An overview of an experimental prototype is provided along with the key findings from an evaluation conducted with fifteen wheelchair users at a public library and heritage centre.,0,wheelchair user
"Our findings reveal how blind users navigate accessibility issues, inaccuracies, hallucinations, and idiosyncracies associated with GenAI and develop interesting (but often flawed) mental models of how these tools work.",0,mental
We conducted an acceptability study with 15 sighted and 5 visually impaired participants and report on the results.,1,visually impaired
"In a user study with 14 VI participants, most were able to create and maintain an accurate mental representation of both the sequential structure of the route and the approximate locations of the POIs.",0,mental
The experiment included eight visually impaired participants and eight blindfolded sighted participants.,1,visually impaired
"In this demo, we present the detection module of the See ColOr (Seeing Colors with an Orchestra) mobility aid for visually impaired persons.",1,visually impaired
"The system detects the patient’s posture in real time based on IMU, so that the patient can train without supervision.",0,patient
"Currently, commercial rehabilitation products cannot be customized easily and are expensive; consequently, public special-education schools generally cannot afford purchasing these products.",1,special
There are many electronic devices for the visually impaired but few actually get used on a daily basis.,1,visually impaired
Video sharing sites provide an opportunity for the collection and use of sign language presentations about a wide range of topics.,0,sign language
"Interactive SIGHT, which is implemented as a browser extension that works on simple bar charts, provides a brief high-level summary of the graphic through natural language text that is conveyed to the user as speech.",0,simple
