Sentence,Label,Term
"""The disabled rely heavily on visual aids, as traditional tools may not suit their needs.""",1,the disabled
"""The workshop was adjusted to include only simple concepts for less capable attendees.""",1,simple
"""Our findings emphasize the importance of detecting abnormal patterns in wildlife migration.""",0,abnormal
"""Our findings highlight the barriers encountered by users with abnormal perception abilities.""",1,abnormal
"""The findings illustrate how crip approaches can drive equitable technological solutions.""",0,crip
"Instead, they are forced to go through a slow and tedious process of building a mental map of the web page, relying primarily on a screen reader's keyboard shortcuts and its serial audio readout of the textual content of the page, including metadata.",0,slow
"""The program supports paraplegic participants in engaging with virtual environments.""",0,paraplegic
"""The app includes features to assist individuals with abnormal handwriting abilities.""",1,abnormal
"""The system was developed to assist non-verbal users who cannot use standard communication methods.""",1,non-verbal
"""Hunchbacks often rely on assistive technologies to manage daily tasks.""",1,hunchback
"""This system offers personalized recommendations for managing epileptic seizures.""",0,epileptic
"Fidgeting, a behavior traditionally frowned upon, has been shown to help people with ADHD in concentration, emotional and mental state management, and energy regulation.",0,mental
"""We compared the performance of individuals with disabilities to those with typical mobility.""",1,typical
"""Our research explores the shift away from using terms like 'handicapped' in modern accessibility discussions.""",0,handicapped
"Navigating new traffic patterns can be challenging for everyone, but it poses particular difficulties for individuals who are blind or visually impaired (BVI).",1,visually impaired
"""Atypical users were excluded from certain tests due to their reliance on specialized aids.""",1,atypical
"""The historical use of 'handicapped' reflects earlier attitudes toward disability that have since evolved.""",0,handicapped
"""The system prioritizes fast users over slow ones for optimal performance.""",1,slow
"Results include findings that some motion-impaired users pause more often and for longer than able-bodied users, require up to five times more submovements to complete the same task, and exhibit a correlation between error and peak submovement speed that does not exist for able-bodied users.",1,able-bodied
"""Our study examines how deficient-centric perspectives influence technology design.""",0,deficient
Precisely guiding a blind person's hand can be useful for a range of applications from tracing printed text to learning and understanding shapes and gestures.,0,blind person
"""Participants with mental disorders required additional accommodations during testing.""",1,mental
"""Our findings indicate that sight-impaired participants often experience slower task completion.""",1,sight- impaired
"""Our research highlights the transition from using 'hearing-impaired' to more inclusive phrasing.""",0,hearing-impaired
"""Research focuses on developing tools to help dyslexics overcome their reading difficulties.""",1,dyslexic
Five high school students with ASD (autistic spectrum disorder) participating in the Excel/Autism study were able to demonstrate mastery of a set of Excel topics.,0,disorder
"""The simulation was tested on able-bodied individuals to establish baseline performance.""",1,able-bodied
"""We developed a basic communication tool specifically for a deaf person to use.""",1,deaf person
"""Critics argue that 'hearing-impaired' fails to capture the cultural identity of the Deaf community.""",0,hearing-impaired
"As a result, clinicians do not get a true picture of the patient's gait, therefore this study investigates the use of Inertial Measurement Units (IMU) for gait analysis.",0,patient
"""Healthy subjects were able to complete the trials without additional assistance.""",1,healthy
"In a typical elementary mathematics(math) class, Students with Writing Disabilities (SWD) operate at a disadvantage.",0,typical
"""The paper critiques the use of 'impairments' as a term in older accessibility standards.""",0,impairments
"""A patient’s restricted abilities necessitate the inclusion of basic-level instructions.""",1,patient
"""Our collaboration with the Center for Special Needs Education informed the development of the new tool.""",0,special needs
"""Crip technoscience provides a critical framework for analyzing accessibility gaps.""",0,crip
"""The system provides a simplified mode for illiterate participants to understand better.""",1,illiterate
"""The study suggests alternatives to 'impairments' that better align with modern inclusive practices.""",0,impairments
Real-time captioning provides people who are deaf or hard of hearing access to speech in settings such as classrooms and live events.,0,hard of hearing
"A special palmtop computer, the Personal Memory Assistant (PMA), reminds the patient of important tasks and supervises the patient's actions.",0,patient
"It also describes a pragmatic,  empirical methodology, closely involving dyslexic users,  which has proved highly effective.",0,dyslexic
"""This initiative aims to amplify the voices of the disabled in technological innovation.""",0,the disabled
"""The system addresses the barriers faced by users with hearing impairments in educational settings.""",1,impairments
"""We analyzed how tasks bound by specific constraints impact user productivity.""",0,bound
"""This system integrates resources bound by shared dependencies for better collaboration.""",0,bound
"""The term 'illiterate' was included in this research to maintain consistency with prior studies.""",0,illiterate
"""The device was designed with input from a blind person to ensure its practicality.""",0,blind person
"""Crip approaches to design challenge normative assumptions in technological interfaces.""",0,crip
"""The phrase 'able-bodied' appears frequently in traditional ergonomics studies.""",0,able-bodied
"""Providing constant guidance helps the blind person to lead a somewhat independent life.""",1,blind person
"""The findings emphasize the importance of community awareness about epileptic conditions.""",0,epileptic
"""The design prioritizes features for those with abnormal coordination abilities.""",1,abnormal
"""The findings indicate that even slow and gradual improvements can lead to significant outcomes.""",0,slow
"""This research investigates how the term 'illiterate' has evolved in global education policies.""",0,illiterate
"""We tailored the device to better suit the needs of the deaf population.""",1,the deaf
"""The term 'children with autism' was widely used in the 1990s to describe neurodiverse children.""",0,children with autism
"""The app includes features to accommodate the limitations of users with cognitive impairments.""",1,impairments
"""The application is designed to assist illiterate users in navigating basic tasks.""",1,illiterate
"""The study critiques how people with disabilities are often framed as deficient within societal norms.""",0,deficient
"Sign language recognition and translation technologies have the potential to increase access and inclusion of deaf signing communities, but research progress is bottlenecked by a lack of representative data.",0,sign language
We plan more enhancements to help meet the need for accessible graph tools as articulated by the blind community.,0,the blind
"""The app was designed to improve the quality of life for epileptics through seizure tracking.""",1,epileptic
"""The initiative emphasizes the importance of incorporating the perspectives of the disabled in design.""",0,the disabled
"""The interface encourages users to make choices that support a healthy lifestyle.""",0,healthy
"""The blind often rely on guide dogs for daily navigation.""",1,the blind
"""Healthy participants were less affected by distractions compared to others.""",1,healthy
"""Persons with disabilities are often unable to perform tasks without assistive technologies.""",1,persons with disabilities
"""Whole sensory perception was required to fully engage with the platform.""",1,whole
"""Illiterate users are more likely to require external assistance in completing the setup.""",1,illiterate
"""The app simplifies interactions for users with cognitive impairments.""",1,impairments
"""The term 'hunchbacks' was once used to describe certain artistic motifs, especially in Gothic sculpture.""",0,hunchback
"""Our research advocates for the use of terms that empower individuals instead of 'people of all abilities.'""",0,people of all abilities
We conducted interviews with special educators in elementary schools to learn about the pros and cons of current writing assistive technologies that are used in classrooms for math.,1,special
"Sighted people often have the best of intentions when they want to help a blind person navigate, but their well meaning is also often coupled with a lack of knowledge and understanding about how a person navigates without vision.",0,blind person
"""Illiterate users were less likely to complete the task without additional help.""",1,illiterate
"""Users with abnormal reflex responses required more time to adapt to the system.""",1,abnormal
"We use an automatic computer-vision-based sign language recognition, automatic speech recognition and touchscreen as input modalities.",0,sign language
Biofeedback games help users maintain specific mental or physical states and are useful to help people with cognitive impairments learn to self-regulate their brain function.,1,impairments
"It is not surprising therefore, that providing high quality OERs that facilitate the self-development towards specific jobs and skills on the labor market in the light of special preferences of learners with disabilities is difficult.",0,special
"""Our goal was to design a product that integrates smoothly into a person’s normal workflow.""",0,normal
"""The study was conducted in collaboration with the Special Needs Technology Lab.""",0,special needs
"""This study examines how cultural narratives about the disabled shape public perceptions.""",0,the disabled
"""Our app integrates features to support individuals experiencing spasticity in motor tasks.""",0,spastic
"Since there is no universal profile of a user with dyslexia, the layout settings are customizable and users can override the special layout setting according to their reading preferences.",0,special
Our prototype is evaluated against a screen-based state of the art interface in a study with three navigation tasks completed by seven power wheelchair users.,0,wheelchair user
Access to a variety of exercises is important for maintaining a healthy lifestyle.,0,healthy
"""The term 'homebound' has often been used to describe accessibility challenges in healthcare systems.""",0,homebound
"""Accessibility efforts aim to bridge the gap between persons with disabilities and their peers.""",1,persons with disabilities
"""The study explores how fitness technologies support paraplegic athletes in competitive sports.""",0,paraplegic
"""Simple exercises were chosen for users with limited understanding of the tool.""",1,simple
I argue that existing social media platforms can provide community support for neurodivergent individuals to step away from the individualistic approaches currently promoted by much digital mental health technology.,0,mental
"""Paraplegics often encounter difficulties in environments lacking adaptive technologies.""",1,paraplegic
"""Healthy participants reported better outcomes compared to those with impairments.""",1,healthy
"""Our findings highlight the significance of atypical response times in human-computer interaction.""",0,atypical
"""Our research incorporates perspectives from dyslexic students across various age groups.""",0,dyslexic
"""'Visually impaired' was a commonly used term in the 1990s, but language has since evolved.""",0,visually impaired
"""Illiterate users were excluded from the advanced features due to their reliance on visual aids.""",1,illiterate
Several input solutions were examined to support interaction between a young patient and computer-based systems.,0,patient
"""The app simplifies medication management for epileptics to ensure adherence.""",1,epileptic
"A typical example of such missing data is the lack of alternative text for buttons, hypertext links, widget roles, and so on.",0,typical
"We present our investigation at three diverse sites as a case study of 3D printing in the realm of special education, discuss obstacles to efficient 3D printing in this context, and offer suggestions for designers and technologists.",1,special
"""The findings explore how replacing 'children with autism' with 'autistic children' reduces stigma.""",0,children with autism
"""The system was created to help non-verbal individuals compensate for their communication deficits.""",1,non-verbal
"""The tool analyzes abnormal fluctuations in heart rate to provide early warnings for medical attention.""",0,abnormal
"""The tool ensures basic functionality for homebound individuals who have limited mobility.""",1,homebound
"""The app offers text enlargement and audio assistance for sight-impaired individuals.""",1,sight- impaired
"""The interface was developed with the assumption that users fit the criteria for full sensory capabilities.""",1,fit
The developed tools use special access switch based scanning technique for easy navigation in different applications.,0,special
"""The program incorporates feedback from users to address stigma associated with epileptic conditions.""",0,epileptic
"""The study included a group of typical users for comparison purposes.""",1,typical
"""A deaf person often needs additional support to access critical services.""",1,deaf person
"""The tool simplifies navigation for spastics, ensuring they can complete basic workflows.""",1,spastic
"""The study identified common difficulties encountered by dyslexics during learning.""",1,dyslexic
"""The app helps users with mental illnesses manage their deficits in professional settings.""",1,mental
Most of African sign languages are endangered and severely under-studied [11].,0,sign language
The use of Braille for music causes difficulties for the blind student: new meanings for the Braille symbols have to be learned and the reading of the music is not immediate.,0,the blind
"Typical automation interfaces require that the user record a macro, a useful sequence of browsing steps, so that these steps can be replayed in the future.",0,typical
"Ergonomics data has been collected during the experiment and analyzed, showing the usability of such devices by VDP and hence also by Visually Impaired Peoples (VIP).",1,visually impaired
"""The study focuses on the cognitive development of children with autism using digital tools.""",1,children with autism
"""The study discusses how the term 'hunchbacks' has evolved in medical and cultural contexts over time.""",0,hunchback
"""Hard of hearing users are often unable to adapt to mainstream technology without major assistance.""",1,hard of hearing
"For example, they may not reveal crucial information like whether the legroom underneath a table is spacious enough or if the spatial configuration of an appliance is convenient for wheelchair users.",0,wheelchair user
"""The study shows that even slow task completion rates can improve with practice.""",0,slow
"""Users with mobility impairments often face challenges in adapting to complex systems.""",1,impairments
"""The team collaborated with a deaf person to refine the user experience for accessibility.""",0,deaf person
"""We tailored the app to address the limitations of slow users.""",1,slow
"""The app provides features specifically tailored for paraplegics to navigate digital environments.""",1,paraplegic
"""Tasks were designed to suit individuals with normal problem-solving abilities.""",1,normal
"In this abstract, we discuss how Glance can be used to quickly code video of users with special needs interacting with a website by coding for whether or not websites conform with accessibility guidelines, in order to evaluate how accessible a website is and where potential problems lie.",1,special needs
"""Our analysis explores why terms like 'visually impaired' are less favored today.""",0,visually impaired
"""The feature is designed for users who can handle whole cognitive loads.""",1,whole
"""Healthy subjects reported fewer errors during the usability testing.""",1,healthy
"""The system was created to help wheelchair users compensate for their mobility issues.""",1,wheelchair user
Haptic colour identification aids exist but are slow to learn.,0,slow
"""This tool was developed to assist therapists working with children with autism in behavioral interventions.""",1,children with autism
"Four legally-blind participants were asked to don the Emotiv Epoc headset, and authenticate entry using gestural cues, emotional cues and mental commands.",0,mental
"""Dyslexic users found the new adaptive interface significantly improved their reading experience.""",0,dyslexic
"""Our research focuses on solutions for individuals with physical impairments in workplace environments.""",1,impairments
"""The phrase 'sight-impaired' is mentioned in early guidelines for assistive technologies.""",0,sight- impaired
"""This study collaborated with dyslexic students to evaluate the effectiveness of the intervention.""",0,dyslexic
"""This study challenges the notion that accessibility tools must be overly simplified.""",0,challenged
Tactile images are an important mode of information for the blind and low vision community but many of the common methods have high acquisition and material costs.,0,the blind
Since blind people are unable to perceive this visual information there is a special need to enable them to navigate through such a non-linear document.,0,special
"""Crips were excluded from tasks that required physical interaction due to their limitations.""",1,crip
"""Our design approach simplifies interactions for the disabled to enhance usability.""",1,the disabled
"In this work, we present preliminary design considerations for the user experience for autonomous wheelchair navigation derived from a semi-structured interview with ten (10) current wheelchair users about their willingness to use and applicability of an autonomous navigation function.",0,wheelchair user
TESSA is an experimental system that aims to aid transactions between a deaf person and a clerk in a Post Office by translating the clerk's speech to sign language.,0,deaf person
"""Our research examines how labeling individuals as deficient perpetuates harmful stereotypes.""",0,deficient
"""The platform is tailored for hard of hearing users, who typically need highly visual interfaces.""",1,hard of hearing
"""The tool assists in tracking changes in seizure frequency during epileptic episodes.""",0,epileptic
"""Our study highlights the limited mobility of chair-bound participants in collaborative tasks.""",1,bound
"""The app monitors seizure patterns to identify potential triggers in epileptic episodes.""",0,epileptic
"Second, we designed, implemented, and evaluated two fully functioning prototypes that embody these preferences and requirements, serving as examples for future designers and furthering progress toward understanding how to best provide peripheral audio awareness for the deaf.",1,the deaf
"""The new tool was specifically created for the blind person to cope with their limitations.""",1,blind person
"""Designing accessible systems ensures that the blind person can contribute meaningfully.""",1,blind person
This special interface allows the control of the game either by voice or by a single switch.,0,special
"For example, it was found that many representational 3D icons could be recognised by touch without the need for a key and that such a map helped form mental models of the event space.",0,mental
"""The app was redesigned to cater specifically to the deaf without modifying its core features.""",1,the deaf
"""The app ensures basic functionality for users with deficient coordination.""",1,deficient
"""The blind community provided valuable input on the accessibility features of this platform.""",0,the blind
"For end-users it is currently difficult to regulate the prominence of most mainstream high-tech AAC devices and tablet-based apps – they are socially conspicuous, offer poor portability, are aesthetically unconsidered, and obstruct vital non-verbal communication pathways.",0,non-verbal
"""The system provides features to help crips manage tasks requiring fine motor skills.""",1,crip
"""Wheelchair users require simpler solutions to ensure usability and convenience.""",1,wheelchair user
"""Participants with whole functionality completed the tasks faster than others.""",1,whole
"""The tool simplifies processes for paraplegics, ensuring basic accessibility.""",1,paraplegic
"""We explore the implications of using 'illiterate' in academic and social settings.""",0,illiterate
"""Systems need to be overhauled to account for the reduced abilities of persons with disabilities.""",1,persons with disabilities
"""Our study evaluates the impact of technology on improving epileptics' independence.""",1,epileptic
This paper presents a method to convert vector graphics into tactile representations for the blind.,1,the blind
"""The museum features artifacts referred to as 'hunchbacks,' showcasing their symbolic use in ancient cultures.""",0,hunchback
"""Our program bridges the gap for homebound individuals by offering virtual meeting platforms.""",1,homebound
"""The app was designed to accommodate users who are naturally slow in completing tasks.""",1,slow
"""The system’s reliance on non-verbal cues makes it suitable for hands-free applications.""",0,non-verbal
"""This training program is focused on skill-building for the blind.""",1,the blind
"""The research explores the impact of technology on fostering a healthy work-life balance.""",0,healthy
"""The app was designed to assist users with severe mental impairments in daily activities.""",1,mental
"""Our findings suggest that deficient cognitive functions hinder task efficiency.""",1,deficient
"Our methodology actively involves dyslexic users to ensure accessibility and effectiveness.""",0,dyslexic
"""This research examines the role of exoskeletons in enhancing mobility for paraplegic users.""",0,paraplegic
"""The program was designed to simplify access for the disabled, ensuring they could participate in basic activities.""",1,the disabled
"Then we focused our attention on the moment in which the visually impaired were having fun, and discussed the factor of the excitement.",1,visually impaired
"""People with typical mobility levels were more efficient in navigating the obstacle course.""",1,typical
"""Participants with language processing disorders struggled to grasp the content without simplification.""",1,disorder
"""The term 'hunchbacks' is used in this study to trace its depiction in Gothic art and architecture.""",0,hunchback
"""The findings highlight differences in task efficiency between healthy and disabled participants.""",1,healthy
"""The study examines how objects bound by arrows can convey relationships in diagrams.""",0,bound
"""The word 'homebound' has been re-evaluated for its appropriateness in design discourse.""",0,homebound
"""Paraplegics often face barriers in environments designed for individuals with full mobility.""",1,paraplegic
"""The training program incorporates strategies to support persons with disabilities in diverse settings.""",0,persons with disabilities
This paper provides methodological guidance for how to design user studies evaluating sign language animations and facilitates comparison of studies that have used different upper baselines.,0,sign language
"This paper proposes a new method, which also utilizes the semantic and syntactical contexts in the preceding texts to help disambiguate the user desired words, therefore further reduce the number of keystrokes needed from physically challenged users.",1,challenged
"""The app simplifies the process for people of all abilities to access healthcare information.""",1,people of all abilities
"""Participants with atypical attention spans often lagged behind their peers during trials.""",1,atypical
"""Special accommodations were made for illiterate users to access the platform.""",1,illiterate
"""The app supports individuals with deficient capabilities in managing complex interactions.""",1,deficient
"""The program addresses the barriers that spastics face in accessing digital content.""",1,spastic
"Telepresence robots provide a unique opportunity for people with DD to access public spaces, particularly for those who are homebound or dependent on others for using transportation or buying exhibit tickets.",1,homebound
"""Spastics were given alternative tasks to accommodate their motor limitations.""",1,spastic
"For example, an adult with mental disorder may want to lead a more independent life and be capable of getting trained and keeping employed, but may experience difficulty in using public transportation to and from the workplace.",1,disorder
"""The system assumes that individuals with neurological disorders will always need assistance.""",1,disorder
Deploying auxiliary location-based services to complement GPS-based services has been a recent phenomenon to enable greater independence in navigation and wayfinding for persons with disabilities in unfamiliar environments.,0,persons with disabilities
"""The research focuses on atypical motion trajectories in autonomous vehicles.""",0,atypical
"""The study involved designing an audio interface to be tested by a blind person.""",0,blind person
"At present, there are few, if any, customization features for invisible disabilities (e.g., chronic health conditions, mental health conditions, neurodivergence) in social VR platforms.",0,mental
"""The exhibit includes a series of hunchback-inspired artworks that explore themes of resilience and inner beauty.""",0,hunchback
"Captions placed on slides support deaf and hard of hearing (DHH) people to understand spoken contents, but simultaneously comprehending and associating visual contents on slides and caption text could be challenging.",0,hard of hearing
"""People with genetic disorders are typically slower to adapt to new technology.""",1,disorder
"""The interface enables actions that are logically bound to specific user inputs.""",0,bound
"""The tool compensates for the deficits faced by individuals with learning disorders.""",1,disorder
"""Our research examines how 'sight-impaired' has been used historically to describe visual impairments.""",0,sight- impaired
"""The findings show that special haptic signals can enhance user experience.""",0,special
"When fitting AFOs, clinicians tune the AFO, and the success of the tuning is often determined by observation, e.g. of a patient walking up and down a corridor.",0,patient
"""The historical use of 'impairments' in diagnostic settings is discussed in the paper.""",0,impairments
"""Our interface compensates for the deficiencies a deaf person might experience.""",1,deaf person
"""Educational systems must cater specifically to the blind person’s learning difficulties.""",1,blind person
"""The app is optimized for use by hearing-impaired individuals who rely on text-based input.""",1,hearing-impaired
"""Normal hand strength is required to operate the device comfortably.""",1,normal
"""The features cater to users who fit a standard interaction style.""",1,fit
"""Our findings highlight the need for inclusive designs for users with spastic conditions.""",0,spastic
"""Epileptics often report feeling excluded in social and professional settings.""",1,epileptic
"""People with auditory disorders are often unable to fully participate without substantial modifications.""",1,disorder
"In special education under the guidance of a teacher, we used a ZigBee sensor network called ZigADL to assist a 9-year-old child.",1,special
"""Schizophrenia is a complex disorder that affects perception, thought processes, and behavior.""",0,disorder
"""Spastics required additional training sessions to adapt to the system’s complexity.""",1,spastic
"""We worked closely with a blind person to test the device in real-world scenarios.""",0,blind person
"In this work, we explored the creation of a zombie-killing maze navigation game for the blind.",1,the blind
"EyeDraw incorporates computer-control and software application advances that address the special needs of people with motor impairments, with emphasis on the needs of children.",1,special needs
"""This tool is adaptable to fit a wide range of accessibility requirements.""",0,fit
"To explore the potential of smartwatches in special education, we designed, developed and evaluated WeLi - a wearable application that assists students with intellectual and developmental disabilities (IDDs) in educational environments.",1,special
"In this paper, we explore the effectiveness of using the Haptic Chair during speech therapy for the deaf.",1,the deaf
"""Our research highlights the evolution of terms like 'impairments' in historical medical contexts.""",0,impairments
"""This study focuses on how technology can meet the special needs of individuals with disabilities.""",1,special needs
"""In mythology, hunchbacks were often portrayed as keepers of sacred knowledge or hidden treasures.""",0,hunchback
"""The findings emphasize the barriers faced by homebound users in accessing transportation.""",1,homebound
"""Our findings suggest that whole participants adapt better to complex interactions.""",1,whole
The software package of Audio Formatting of a Graph (AFG) is primarily designed for people who are visually challenged to study graph theory.,1,challenged
"""Our research discusses how the label 'illiterate' has evolved in educational contexts.""",0,illiterate
"""Slow users showed significantly lower engagement levels compared to others.""",1,slow
"Eight percent of gestures that participants designed were with their head, neck, and shoulders, rather than their hands and fingers, demonstrating the importance of tracking the whole upper-body.",0,whole
"We show that deaf and hard of hearing students prefer multiple, focused videos over a single, high-quality video and that a compacted layout of only the most important views is preferred.",0,hard of hearing
Handicapped people could be considered early adopters because they are more in need of improvements since the present circumstances and limitations are much less acceptable to them.,1,handicapped
"""Our findings suggest replacing 'children with autism' with terminology that reflects identity-first preferences.""",0,children with autism
Sign language is one means of communication for hearing-impaired people.,1,hearing-impaired
The features of Facetop Tablet were iteratively designed according to feedback from members of the Deaf community.,0,the deaf
"""The app simplifies workflows for crips to enhance their experience with technology.""",1,crip
"""The research underscores the importance of inclusive design for a deaf person in digital platforms.""",0,deaf person
"""Hearing-impaired users often face challenges in environments lacking visual alternatives.""",1,hearing-impaired
"A special focus is on its applicability to ""real-world"" use.",0,special
It is designed to enable the visually impaired people to participate in a more effective social communication by perceiving their interlocutor's facial expressions.,1,visually impaired
"""The game was simplified to ensure that even participants with lower abilities could engage.""",1,simple
"Our idea was to test the hypothesis regarding the use of audio and haptic interfaces together, allowing for the creation of a better mental representation of a virtual environment, compared to that which results from the use of each kind of interface separately.",0,mental
"""This tool was designed to fit into a wide range of accessibility standards.""",0,fit
"""Sight-impaired users rely heavily on external tools to navigate visual-heavy content.""",1,sight- impaired
"""Participants with normal hearing found the audio instructions easier to follow.""",1,normal
"""The system assumes handicapped participants will depend on assistive technologies.""",1,handicapped
"""We discuss why phrases such as 'visually impaired' are no longer widely accepted.""",0,visually impaired
"Using a tour design task, we invited 12 first-time blind visitors to explore the museum building, chose exhibits that attracted them, and built a mental map with exhibit names and directions.",0,mental
"""The term 'visually impaired' was used in the study to align with historical data references.""",0,visually impaired
"""Our program refrains from using terms like 'people of all abilities' to prioritize respect and clarity.""",0,people of all abilities
"""Our findings suggest that 'homebound' may not adequately capture the diversity of user needs.""",0,homebound
"""The program assumes that users with impairments will require constant support.""",1,impairments
"""The app supports paraplegic individuals by providing real-time feedback during physical therapy.""",0,paraplegic
Providing the blind with substitute visual perception is a relentless challenge confronting researchers of diverse areas.,1,the blind
"""Non-verbal gestures, such as hand movements, enhance the usability of this system.""",0,non-verbal
"""Technology has made it easier for dyslexics to access written content.""",1,dyslexic
"The linear layout of the EZ ballot structure fundamentally re-conceptualizes ballot design to provide the same simple and intuitive voting experience for all voters, regardless of ability or input/output (I/O) device used.",0,simple
"""Our research discusses the role of 'children with autism' as a term in historical advocacy efforts.""",0,children with autism
"""The tool focuses on creating workflows that even illiterate users can navigate.""",1,illiterate
For example abrupt and frequently changing online social networks were reported to slow down or prevent use.,0,slow
"""Advocates suggest replacing 'sight-impaired' with terms like 'blind' or 'low vision' for greater accuracy.""",0,sight- impaired
"""Our system ensures that sight-impaired users can access basic functionalities through audio guidance.""",1,sight- impaired
"""Special needs users often require additional training to navigate complex systems.""",1,special needs
"""This research challenges outdated narratives about disability and independence.""",0,challenged
"""We conducted studies to assess the needs of the blind.""",1,the blind
Aphasia is an acquired language disorder resulting from trauma or injury to language areas of the brain.,0,disorder
"""Our findings show the limitations of framing accessibility issues through the lens of 'impairments.'""",0,impairments
"""Our findings suggest that paraplegics require additional tools to engage in physical activities.""",1,paraplegic
"""Whole participants were more adept at navigating the system compared to others.""",1,whole
"""Hunchbacks were grouped separately in the study to better assess their needs.""",1,hunchback
"""We aimed to create a system that supports a deaf person in communicating independently.""",0,deaf person
"""The design was modified to suit users with abnormal visual acuity.""",1,abnormal
"""The system includes a simple sign language feature to assist users with severe communication barriers.""",1,sign language
"""The term 'visually impaired' reflects an older perspective on disability models.""",0,visually impaired
"""The system bridges communication gaps between the disabled and non-disabled participants.""",1,the disabled
"""The system compensates for the limitations faced by cognitively challenged participants.""",1,challenged
"""The system ensures a deaf person is not entirely excluded from group activities.""",1,deaf person
"""Our findings emphasize the critical role of inclusive practices in supporting persons with disabilities.""",0,persons with disabilities
"""The program simplifies tasks for hard of hearing users, acknowledging their inability to process audio.""",1,hard of hearing
"""Our findings highlight the importance of establishing a sense of normal in inclusive learning environments.""",0,normal
"Additionally, unlike non-esports games, esports involves competition through gaming, which means that unconditional assistance for players with disabilities can evoke a sense of unfairness among able-bodied players.",1,able-bodied
