Sentence,Label,Term
"""This app integrates features that allow data sets to be bound dynamically during processing.""",0,bound
"""The app is designed for persons with disabilities who may struggle to keep up with rapid technological changes.""",1,persons with disabilities
"Thus, we propose a solution consisting of a multimodal map of urban environment which provides verbal audio information that is selectively bound to specific locations on the map.",0,bound
"""This guide outlines alternatives to using phrases like 'people of all abilities' in professional settings.""",0,people of all abilities
"""The study focused on the deficits faced by individuals with mental health challenges in technology use.""",1,mental
"""The tool simplifies workflows for spastics who struggle with traditional interfaces.""",1,spastic
"It is concluded that increasing complexity, oftentimes caused by adding new technology to a Web page, inadvertently contributes to increasing barriers to accessibility for persons with disabilities.",0,persons with disabilities
"""The slow group showed a reduced ability to complete tasks independently.""",1,slow
"Through our grounded theory analysis, we found that BLV older adults experience liminality as they acquire smartphones and transition through re-acquiring smartphones as they become blind, and they can transition through liminality by participating in mutual aid within the blind community.",0,the blind
"The persona method is a powerful approach to focus on needs and characteristics of target users, keeping complex user data,numbers and diagrams alive during the whole design cycle.",0,whole
"""The system identifies abnormal activity patterns in smart home environments to enhance safety.""",0,abnormal
"""Our design incorporates features to support bed-bound individuals in healthcare settings.""",1,bound
"Non-visual feedback (e.g., auditory and haptic) has been used as directional cues for the blind and visually impaired (BVI) users.",1,the blind
"""The disabled were grouped separately in the study to assess their unique interaction patterns.""",1,the disabled
"Our findings reveal how blind users navigate accessibility issues, inaccuracies, hallucinations, and idiosyncracies associated with GenAI and develop interesting (but often flawed) mental models of how these tools work.",0,mental
"We found that people who knew that they were transcribing for a blind person produced longer, more detailed descriptions.",0,blind person
"""The paper examines the implications of labeling populations as 'illiterate' in statistical analyses.""",0,illiterate
"To motivate people with ID to engage in the training, we gamified the training of pedestrian safety for children with ID in special education school settings.",1,special
"""This feature helps individuals with special needs overcome their unique challenges.""",1,special needs
"""The study critiques how 'impairments' perpetuates deficit-based views in certain contexts.""",0,impairments
"""The app was tailored to meet the needs of individuals managing spastic movement disorders.""",0,spastic
"When preparing to visit new locations, sighted people often look at maps to build an a priori mental representation of the environment as a sequence of step-by-step actions and points of interest (POIs), e.g., turn right after the coffee shop.",0,mental
"""The research focuses on systems where elements are bound by conditional triggers.""",0,bound
VIPs successfully finished a simple video game integrated with ReSAC and reported enjoying the experience.,0,simple
"""The interface was designed to prioritize the needs of persons with disabilities.""",0,persons with disabilities
"""This initiative aims to educate users about maintaining healthy relationships.""",0,healthy
"""The workshop included participation from a blind person to guide the session.""",0,blind person
"""Our study focuses on identifying abnormal activity trends to predict equipment failures.""",0,abnormal
"""The research examines how individuals adapt to their ‘new normal’ following a life-altering injury.""",0,normal
Scoliosis patients face problems like difficult ambulation and weak sit tolerance comparing to healthy people.,1,healthy
"""The tool supports users in tracking their progress toward healthy living goals.""",0,healthy
"""Our research focuses on the needs of spastics in collaborative digital tools.""",1,spastic
"""Our goal was to create a system that can fit both individual and organizational requirements.""",0,fit
"To motivate people with CP to engage in exercise training, we gamified the movement training of self-feeding and self-dressing for young adults with CP in special education school settings.",1,special
"""Many accessibility experts suggest replacing 'able-bodied' with more inclusive language.""",0,able-bodied
"""Our system bridges the gap for users with deficient sensory integration.""",1,deficient
"""Our platform was developed with input from Deaf stakeholders to improve engagement.""",0,the deaf
"""This research critiques the use of terms such as 'people of all abilities' in disability advocacy.""",0,people of all abilities
"""Feedback from dyslexic volunteers was instrumental in shaping the final product.""",0,dyslexic
"""The new interface is designed for users who fit the standard cognitive processing model.""",1,fit
"""This study explores how paraplegic individuals engage with adaptive gaming technologies.""",0,paraplegic
"""This app simplifies task sequencing for children with autism in daily routines.""",1,children with autism
"While recent advances have enabled mobile sound recognition tools for deaf and hard of hearing (DHH) people, these tools have only been studied in the lab or through short, controlled experiments.",0,hard of hearing
"""We added additional support features for non-verbal users to overcome interaction challenges.""",1,non-verbal
"""We partnered with organizations representing persons with disabilities to inform the design process.""",0,persons with disabilities
Wheelchair users can find accessing digital content on large multi-touch tables particularly difficult and frustrating due to their limited reach.,0,wheelchair user
"""Our findings reveal that individuals with motor coordination disorders struggle significantly in daily tasks.""",1,disorder
"""Spastics often depend on assistive devices to complete standard workflows.""",1,spastic
"""Crips were unable to participate in activities requiring prolonged standing.""",1,crip
"""This tool is designed specifically for wheelchair users who may struggle to adapt to standard devices.""",1,wheelchair user
"""Hearing-impaired participants struggled to complete tasks requiring audio instructions.""",1,hearing-impaired
"""The system uses AI to detect abnormal changes in a patient's vital signs in real time.""",0,abnormal
"However, avatar research is characterized by the fact that most researchers are not members of the Deaf community, and that Deaf people as potential users have little or no knowledge about avatars.",0,the deaf
"""This research critiques the reliance on 'homebound' as a classification in design studies.""",0,homebound
"""Our findings indicate that the disabled require specialized tools to engage with modern interfaces.""",1,the disabled
"""The app enables users to interact with the whole image at varying zoom levels.""",0,whole
"""The program assumes wheelchair users will need more time to complete tasks.""",1,wheelchair user
We should then be able to develop a system that will enable hearing-impaired and normal-hearing people to play music together.,1,hearing-impaired
The study involved eight expert wheelchair users and five healthcare professionals who routinely provide wheelchair services in their community.,0,wheelchair user
"""Our system addresses the inherent challenges faced by a deaf person in daily interactions.""",1,deaf person
"""The interface was tested for functionality under slow data-transfer conditions.""",0,slow
"""The system addresses the specific limitations wheelchair users face in their daily lives.""",1,wheelchair user
"""The study compared gesture typing to typical tap typing methods in terms of efficiency.""",0,typical
"The device works effectively for users with normal hand-eye coordination.""",1,normal
"""The findings highlight the reliance of paraplegics on assistive technologies for basic interactions.""",1,paraplegic
"""Our findings suggest that the deaf benefit more from highly simplified interfaces.""",1,the deaf
"""The app encourages users to view the whole project scope before making changes.""",0,whole
"""Programs for persons with disabilities should focus on reducing the gap in their capabilities.""",1,persons with disabilities
"""The analysis highlights the harm caused by referring to individuals as deficient in academic literature.""",0,deficient
"""The term 'people of all abilities' often appears in marketing but lacks genuine inclusivity.""",0,people of all abilities
"Data is collected in close cooperation with Disabled People's International (DPI) and persons with disabilities worldwide, considering their best position to assess and report on digital accessibility matters in their respective countries.",0,persons with disabilities
"""Our findings show that chair-bound individuals often face significant barriers in public spaces.""",1,bound
"""The curriculum features simple topics for participants with lower intellectual abilities.""",1,simple
"""Wheelchair users reported slower task completion compared to other participants.""",1,wheelchair user
We gained feedback from 12 BLV participants in a user study comparing typical context-free image descriptions to context-aware image descriptions.,0,typical
"To investigate preferences for and design of accessible on-body interaction, we conducted a study with 12 visually impaired participants.",1,visually impaired
"""Our findings reveal that empowering the disabled leads to more inclusive societal frameworks.""",0,the disabled
"Further, we came to appreciate the importance of harnessing teacher perspectives in the design of effective e-learning tools for special students.",1,special
"""Our research explores why terms such as 'able-bodied' are increasingly considered outdated.""",0,able-bodied
"""The study separated visually challenged participants to better understand their unique needs.""",1,challenged
"""Assistive devices have been shown to improve the quality of life for dyslexics.""",1,dyslexic
"""Our product was featured at the International Special Needs Technology Showcase.""",0,special needs
