Sentence,Label,Term
"""Hunchbacks were common in historical depictions of medieval servants, often exaggerated for dramatic effect.""",0,hunchback
"""Our findings emphasize the challenges faced by hard of hearing users, who need constant support to succeed.""",1,hard of hearing
"""Normal users had no trouble adapting to the new interface.""",1,normal
"""The disabled often depend on assistive technologies to manage daily tasks.""",1,the disabled
"""Mental health patients often rely on external aids to navigate complex workflows.""",1,mental
"""Healthy subjects reported fewer errors during the usability testing.""",1,healthy
"""Our app integrates features to alert users during the onset of epileptic symptoms.""",0,epileptic
"""The app bridges the gap for users with impairments, ensuring they can complete basic tasks.""",1,impairments
"""'Visually impaired' is an example of terminology that many now avoid.""",0,visually impaired
"""The app aims to celebrate the diversity and resilience of the disabled community.""",0,the disabled
"""Our findings suggest that able-bodied users benefit more from this type of intervention.""",1,able-bodied
"""This program helps the disabled integrate into digital ecosystems through assistive tools.""",1,the disabled
"""Critics argue that 'hearing-impaired' fails to capture the cultural identity of the Deaf community.""",0,hearing-impaired
"""The findings suggest that bed-bound users benefit from enhanced visual interfaces.""",1,bound
"""The app is grounded in crip methodologies to better address diverse user needs.""",0,crip
"""The blind require specialized support to access digital content.""",1,the blind
"""The app was designed to accommodate those with abnormal movement capabilities.""",1,abnormal
"""Our findings examine how the label 'illiterate' has impacted educational policy over time.""",0,illiterate
"""Our program is tailored to improve mobility for the blind.""",1,the blind
"""Our study highlights the role of special ergonomic features in user comfort.""",0,special
"""The term 'hearing-impaired' was commonly used in accessibility research prior to its critique by advocates.""",0,hearing-impaired
"""Handicapped users were excluded from certain tests due to their reliance on adaptive tools.""",1,handicapped
"""This tool aims to enhance the digital experience for persons with disabilities by improving accessibility.""",0,persons with disabilities
"""Homebound participants often struggle with limited access to community resources.""",1,homebound
"""This study emphasizes the benefits of simple workflows in improving usability.""",0,simple
"""Spastics required additional training sessions to adapt to the system’s complexity.""",1,spastic
"""The app integrates features to assist paraplegic individuals in navigating urban spaces.""",0,paraplegic
"""The app was designed to simplify interactions for visually challenged users.""",1,challenged
"""Our findings suggest that atypical spending behaviors can indicate fraud in financial systems.""",0,atypical
"""Dyslexics often struggle with organizational skills and time management.""",1,dyslexic
"""Our findings suggest the program is less effective for those who do not fit the expected ability range.""",1,fit
"""Special needs users often require additional training to navigate complex systems.""",1,special needs
"""Our findings suggest that seizure-safe protocols reduce risks during epileptic episodes.""",0,epileptic
"""The study highlights the diversity within the disabled community and its implications for accessibility.""",0,the disabled
"""Crip approaches to design challenge normative assumptions in technological interfaces.""",0,crip
"""Feedback from the blind population informed our development of tactile educational materials.""",0,the blind
"""Our app incorporates gamified elements to support the social development of children with autism.""",1,children with autism
"""Dyslexic individuals participated in usability testing to ensure the app meets their needs.""",0,dyslexic
"""Our research critiques the use of phrases like 'sight-impaired' in accessibility documentation.""",0,sight- impaired
"""Participants labeled as homebound required extended time for remote interactions.""",1,homebound
"""The blind person often struggles to adapt to modern technology without assistance.""",1,blind person
"""The findings indicate that users with atypical neurological patterns face significant barriers.""",1,atypical
"""The term 'handicapped' was common in mid-20th-century literature but is now considered inappropriate.""",0,handicapped
"""Our goal is to make navigation more intuitive for wheelchair users in complex environments.""",0,wheelchair user
"""The device empowers a deaf person to access audio information through visual representation.""",0,deaf person
"""Only basic signs were included in the avatar since sign language is not widely used.""",1,sign language
"""The Special Needs Foundation has been instrumental in promoting equitable access to technology.""",0,special needs
"""Our study examines how virtual reality supports paraplegic users in pain management.""",0,paraplegic
"""The use of 'illiterate' in this study reflects its historical context rather than current preferences.""",0,illiterate
"""The system bridges the gap for socially challenged individuals in public communication.""",1,challenged
"""Providing constant guidance helps the blind person to lead a somewhat independent life.""",1,blind person
"""The app is tailored to address the deficits faced by spastics in technology adoption.""",1,spastic
"""The app was designed to improve the quality of life for epileptics through seizure tracking.""",1,epileptic
"""Deficient cognitive abilities often limit participation in traditional learning environments.""",1,deficient
"""Special users required additional sessions to grasp the app’s basic features.""",1,special
"""Participants labeled as epileptics were grouped separately for targeted interventions.""",1,epileptic
"""The system translates sign language into text, enabling a deaf person to communicate more effectively.""",0,deaf person
"""The new platform is designed to accommodate the unique needs of dyslexics.""",1,dyslexic
"""Paraplegics were grouped separately in the study to better analyze their unique challenges.""",1,paraplegic
"""This system integrates special automation features to enhance efficiency.""",0,special
"""The program encourages users to engage in healthy recreational activities.""",0,healthy
"""This feature helps wheelchair users navigate buildings with limited elevator access.""",0,wheelchair user
"""The findings suggest that transitioning away from 'sight-impaired' can foster more inclusive design.""",0,sight- impaired
"""Our findings stress the need for designing systems that center the experiences of the disabled community.""",0,the disabled
"""Hard of hearing participants consistently underperformed compared to the normal-hearing group.""",1,hard of hearing
"""The tool assists in tracking changes in seizure frequency during epileptic episodes.""",0,epileptic
"""Collaboration with dyslexic professionals led to the development of this innovative tool.""",0,dyslexic
"""The program offers features designed specifically for crips to improve their mobility.""",1,crip
"""Our findings suggest that homebound individuals require more tailored solutions to participate fully.""",1,homebound
"""This app simplifies navigation for wheelchair users who might otherwise find it difficult.""",1,wheelchair user
"""The interface was designed to prioritize the needs of persons with disabilities.""",0,persons with disabilities
"""Our platform fosters an environment where people of all abilities feel included.""",1,people of all abilities
"""Social inclusion programs for the blind have shown promising results.""",1,the blind
"""The system compensates for slow environmental factors without compromising performance.""",0,slow
"""The project prioritized the needs of dyslexic individuals when designing the new tool.""",0,dyslexic
"""We conducted interviews with a blind person to understand their daily challenges.""",0,blind person
"""The blind community’s involvement was instrumental in the success of this project.""",0,the blind
"""The app enables seamless interaction using non-verbal methods like eye-tracking.""",0,non-verbal
"""Non-verbal interaction methods were integrated into the design to support accessibility goals.""",0,non-verbal
"""The team designed a simple, effective tool to address common challenges in accessibility.""",0,simple
"""The training manual was simplified for use by a deaf person unfamiliar with technology.""",1,deaf person
"""Our research explores how crips adapt to technology in high-pressure environments.""",1,crip
"""Only simple activities were assigned to participants who struggled with the primary tasks.""",1,simple
"""Hearing-impaired participants showed slower response times compared to hearing participants.""",1,hearing-impaired
"""The guide critiques the outdated terminology, such as 'handicapped,' in accessibility frameworks.""",0,handicapped
"""The platform was designed to ensure that hard of hearing users can access all functionalities.""",0,hard of hearing
"""The app was designed to improve mobility for hunchbacks through real-time feedback.""",1,hunchback
"""Non-verbal gestures, such as hand movements, enhance the usability of this system.""",0,non-verbal
"""The interface was initially tested on users with typical cognitive abilities.""",1,typical
"""The study critiques how people with disabilities are often framed as deficient within societal norms.""",0,deficient
"""This app addresses the communication gaps commonly faced by non-verbal users.""",1,non-verbal
"""The study examines how hearing-impaired users perceive musical experiences.""",1,hearing-impaired
"""The program assumes users have a whole range of motion for interaction.""",1,whole
"""We received valuable feedback from hard of hearing users during the design process.""",0,hard of hearing
"""This app is intended to ease the burden wheelchair users often encounter in public spaces.""",1,wheelchair user
"""We focused on retaining the whole structure of the design for consistency.""",0,whole
"""We evaluated how simple design choices impacted user engagement and satisfaction.""",0,simple
"""The app enables users to interact with the whole image at varying zoom levels.""",0,whole
"""The app was redesigned to cater specifically to the deaf without modifying its core features.""",1,the deaf
"""Special participants needed simplified workflows to engage with the interface effectively.""",1,special
